relative_time,Loader_front_orientation,Loader_cylinder_right,Loader_cylinder_left,Loader_cylinder_top,Loader_bucket_load_right,Loader_bucket_load_mid,Loader_bucket_load_left
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,-0.0005154123008486,7.167032074608521e-06,-6.335166608666804e-06,-0.0003007991204106,0.0,0.0,0.0
0.1,-0.000221775514357,-1.4922985722475536e-05,-1.2032357930955956e-05,-0.0001251249008148,0.0,0.0,0.0
0.15,0.0002553792522578,-2.2226087664705573e-05,-1.3372603355141016e-05,-0.0001991135931246,0.0,0.0,0.0
0.2,0.000349877966878,-2.276896493613844e-05,-2.567254520974356e-06,-5.83650763025386e-05,0.0,0.0,0.0
0.25,0.0003262609080121,-8.165193965462929e-06,-1.9322933192992464e-05,0.0001306240999294,0.0,0.0,0.0
0.3,-4.342982503828821e-05,-1.932915437154965e-06,-3.2911075912633577e-07,0.0002407296709064,0.0,0.0,0.0
0.35,-0.0001942332680458,-1.2324062370859802e-05,-1.0453656528169028e-05,0.0002479740586082,0.0,0.0,0.0
0.4,3.3492385841388215e-05,-2.012226352876911e-05,-1.528597748816082e-05,0.000134841250073,0.0,0.0,0.0
0.45,0.0001116508244451,-6.784758938489064e-06,-1.6051905804272835e-05,2.2060591262866815e-05,0.0,0.0,0.0
0.5,2.2135715246329e-05,-5.778870181699383e-06,-2.8852997434874752e-06,-0.000136683745704,0.0,0.0,0.0
0.55,-4.272894499793343e-05,-4.933870931588436e-06,-1.6457161280306165e-06,-0.0002229974864574,0.0,0.0,0.0
0.6,-8.381161875305103e-05,-9.046196356037649e-06,-1.6554230710847556e-05,-0.0002542359153768,0.0,0.0,0.0
0.65,-3.254266077164497e-05,-1.100300415488082e-05,-5.369422916448166e-06,-0.0002327364325847,0.0,0.0,0.0
0.7,-1.0032131774485465e-05,-7.107449060895221e-06,-2.8158493880670395e-06,-0.0003114397412639,0.0,0.0,0.0
0.75,-7.029782188062835e-05,-9.189658156101157e-06,-8.388819793185354e-06,-0.0003605166195392,0.0,0.0,0.0
0.8,-0.0001862281326321,-1.8360845012332788e-05,-1.0772794769973816e-05,-0.000288991530316,0.0,0.0,0.0
0.85,-0.000152463482338,-8.45712499978954e-06,-1.402182878214324e-05,-0.0002738545637354,0.0,0.0,0.0
0.9,-0.0001201034858782,-5.697502527055524e-06,-5.431897866357468e-06,-0.0003613108358837,0.0,0.0,0.0
0.95,-0.0001451043384292,-3.703248630703162e-06,-5.38149287755105e-07,-0.0004344267806007,0.0,0.0,0.0
1.0,-0.0001606922149066,-3.745157983714045e-06,-6.461131369513859e-06,-0.0004136223646336,0.0,0.0,0.0
1.05,-0.0002127906116548,7.525279308568807e-05,8.17133100339444e-05,-0.0003825309300754,14.583333333333345,16.666666666666682,20.45454545454547
1.1,-0.0002924456320445,0.000262971471498,0.0002685101512711,-0.0004064501027784,43.75000000000003,50.00000000000004,61.36363636363641
1.15,-0.0004470295271652,0.0005301695142488,0.0005419588904773,-0.0003015648430818,87.50000000000006,100.00000000000009,122.72727272727283
1.2,-0.0004547547047448,0.0008925509609048,0.0009079324196941,-0.000253500284638,145.83333333333343,166.66666666666683,204.5454545454547
1.25,-0.00039357510137,0.001334227533733,0.0013558186548453,-0.0001668405601184,218.75000000000009,250.00000000000017,306.818181818182
1.3,-0.0002744526372293,0.0018725782517805,0.0018979283831506,-0.0001004156081257,306.2500000000001,350.00000000000017,429.5454545454547
1.35,-0.0002807536276474,0.002500572182169,0.0025333702956487,-0.000184188730827,408.33333333333337,466.66666666666686,572.7272727272729
1.4,-0.000369863627836,0.0032380671218725,0.0032715025115559,-0.0001274187378539,525.0000000000001,600.0000000000002,736.3636363636366
1.45,-0.000474512682101,0.0040475583138993,0.0040903729138416,-1.6269811015203904e-05,656.2500000000001,750.0000000000003,920.4545454545456
1.5,-0.000432161435514,0.0049572488282739,0.0049806769142102,-0.0001481193937955,802.0833333333334,916.666666666667,1125.0000000000002
1.55,-0.0004481034578015,0.0059496680740768,0.0059811534629546,-0.0001208631399509,962.5,1100.0000000000005,1350.0000000000002
1.6,-0.0004307985760285,0.0070302606618263,0.0070769678536668,-0.0002029491866861,1137.5,1300.0000000000005,1595.4545454545455
1.65,-0.0004737230324322,0.0082091546742967,0.0082518571770484,-0.0002335222776648,1327.0833333333337,1516.6666666666672,1861.3636363636367
1.7,-0.0004788924528123,0.0094669506957621,0.0095168455080596,-0.0001870954593869,1531.25,1750.000000000001,2147.727272727273
1.75,-0.0004578730505736,0.0108228912486142,0.0108744851223295,-0.0002559052723919,1750.0,2000.000000000001,2454.545454545455
1.8,-0.0003180403473767,0.0122769739280019,0.0123141409942544,-5.926970822254955e-05,1983.3333333333333,2266.666666666667,2781.818181818182
1.85,-0.000317919367108,0.0138058339132495,0.0138513928894483,-9.62530648810592e-06,2231.25,2550.000000000001,3129.545454545455
1.9,-0.0003044020445073,0.0154294461337594,0.0154743052624523,7.068728691746099e-05,2493.75,2850.000000000001,3497.727272727273
1.95,-0.0002897088123091,0.0171394024251728,0.0171894444355247,8.449822517536782e-05,2770.833333333333,3166.6666666666674,3886.363636363637
2.0,-0.0002030711479782,0.0189501640751526,0.0190065740144258,9.244183169112748e-05,3062.5,3500.000000000001,4295.454545454546
2.05,-9.390953677744912e-05,0.0207677666790885,0.0208132143931991,0.0001350458259645,3354.1666666666665,3833.3333333333344,4704.545454545454
2.1,-7.887658111425071e-06,0.0225681471529005,0.022603177098648,7.745296761665979e-05,3645.833333333333,4166.666666666668,5113.636363636363
2.15,0.0001047565463627,0.0243824745756832,0.0243988481117907,0.0001411730308394,3937.499999999999,4500.000000000001,5502.074314574315
2.2,7.48356705004472e-05,0.0261954422826386,0.0261950377369293,0.0001903985962275,4229.166666666666,4833.333333333334,5869.859307359308
2.25,-3.758105422175896e-05,0.0280120944834023,0.0280055258834314,0.0001435672851227,4506.152343749999,5166.666666666668,6216.991341991343
2.3,-7.764375052333387e-05,0.0298127033255476,0.0298103395742488,0.0003462602212785,4768.457031249999,5500.000000000002,6543.470418470419
2.35,-3.83146116186923e-05,0.0316225825542845,0.0316225266066865,0.0003846709988387,5016.080729166666,5833.333333333334,6849.296536796537
2.4,-0.000159492229979,0.0334189534239005,0.0334073404353942,0.000244917208108,5249.023437499999,6166.666666666668,7134.469696969698
2.45,-0.0001124070932394,0.0352126740332809,0.0351966230315215,0.0002157203666648,5467.285156249999,6500.000000000002,7398.989898989898
2.5,-0.0001124028525335,0.0370118331559809,0.0370072589610859,7.732089564150496e-05,5670.865885416666,6833.333333333334,7642.857142857142
2.55,-2.680838467411874e-05,0.0388199516118046,0.0388072533386225,8.658767459105689e-05,5859.765624999999,7149.901574803151,7866.071428571429
2.6,5.2674610472709206e-05,0.0406298600610744,0.0406094868722534,0.00015574167487,6033.984374999999,7449.70472440945,8068.632756132756
2.65,2.743339630995236e-05,0.0424308296048378,0.0424031275711868,0.0001189832184327,6193.522135416666,7732.742782152231,8250.541125541127
2.7,-7.478921350411096e-05,0.0442420087713993,0.044198157461913,1.1779069487558132e-05,6338.378906249999,7999.015748031497,8411.796536796537
2.75,-1.6505336685468e-05,0.0460549253325505,0.0460016051968341,-3.524847653980775e-05,6468.5546875,8248.523622047247,8552.39898989899
2.8,-2.434230681825237e-05,0.0478646091601602,0.0478131081005779,-0.0001189732563222,6584.049479166667,8481.266404199476,8672.348484848486
2.85,-0.0001246285444112,0.0496664454396823,0.0496132054855151,-0.0001642311142618,6684.86328125,8697.244094488191,8771.645021645021
2.9,-0.0002310441791504,0.0514687635459457,0.0514104740282458,-0.0002162820581956,6770.99609375,8896.456692913387,8850.2886002886
2.95,-0.0002172573812115,0.0532822440857371,0.0532079346150838,-0.0002292767213522,6842.447916666667,9078.904199475068,8908.27922077922
3.0,-0.0003502311723061,0.0550819882786198,0.0550085859876391,-0.0002498469641803,6899.21875,9244.58661417323,8945.616883116883
3.05,-0.0004123539839915,0.0568895646650958,0.0568178354833159,-0.0003053032806245,6941.30859375,9393.503937007874,8962.301587301587
3.1,-0.000408449278685,0.0586894575733905,0.0586268317952164,-0.0003334425853115,6968.717447916666,9525.656167979005,8958.333333333332
3.15,-0.0003764444356675,0.0604940980328681,0.0604385930129523,-0.0003186219146578,6981.4453125,9641.043307086617,8954.36507936508
